Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
6,"J Steenvoorden, AJH Meddens…","The potential importance of unburned islands as refugia for the persistence of wildlife species in fire‐prone ecosystems",2019,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.5432","https://scholar.google.com/scholar?cites=9010042520773972690&as_sdt=80000005&sciodt=0,23&hl=en",11,"2021-02-22","","","","",,,,,6,3.00,2,3,2
30,"CD Rittenhouse, AR Rissman","Forest cover, carbon sequestration, and wildlife habitat: policy review and modeling of tradeoffs among land-use change scenarios",2012,"Environmental Science & Policy","Elsevier","https://www.sciencedirect.com/science/article/pii/S1462901112000548","https://scholar.google.com/scholar?cites=258580388062236014&as_sdt=80000005&sciodt=0,23&hl=en",12,"2021-02-22","","","","",,,,,30,3.33,15,2,9
13,"SA Cushman, TN Wasserman, K McGarigal","Modeling landscape fire and wildlife habitat",2011,"The Landscape Ecology of …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-0301-8_9","https://scholar.google.com/scholar?cites=6285205545678537684&as_sdt=80000005&sciodt=0,23&hl=en",13,"2021-02-22","","","","",,,,,13,1.30,4,3,10
15,"VJ Meretsky, LA Maguire, FW Davis, DM Stoms…","A state-based national network for effective wildlife conservation",2012,"…","academic.oup.com","https://academic.oup.com/bioscience/article-abstract/62/11/970/263098","https://scholar.google.com/scholar?cites=4060520657722388296&as_sdt=80000005&sciodt=0,23&hl=en",14,"2021-02-22","","","","",,,,,15,1.67,3,5,9
10,"BM Kluever, EM Gese, SJ Dempsey","The influence of wildlife water developments and vegetation on rodent abundance in the Great Basin Desert",2016,"Journal of Mammalogy","academic.oup.com","https://academic.oup.com/jmammal/article-abstract/97/4/1209/1753668","https://scholar.google.com/scholar?cites=8036023006972891716&as_sdt=80000005&sciodt=0,23&hl=en",15,"2021-02-22","","","","",,,,,10,2.00,3,3,5
0,"R Pfeifle, WS Forester","Klickitat Wildlife Area",2016,"","wdfw.wa.gov","https://wdfw.wa.gov/sites/default/files/publications/01811/wdfw01811.pdf","",16,"2021-02-22","PDF","","","",,,,,0,0.00,0,2,5
21,"JD Tack, BC Fedy","Landscapes for energy and wildlife: conservation prioritization for golden eagles across large spatial scales",2015,"PLoS One","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0134781","https://scholar.google.com/scholar?cites=17736916881905832305&as_sdt=80000005&sciodt=0,23&hl=en",17,"2021-02-22","HTML","","","",,,,,21,3.50,11,2,6
1,"EL Julianus","Moose (Alces alces) browse availability and use in response to post-fire succession on Kanuti National Wildlife Refuge, Alaska",2016,"","scholarworks.alaska.edu","https://scholarworks.alaska.edu/handle/11122/6827","https://scholar.google.com/scholar?cites=3167650168694479572&as_sdt=80000005&sciodt=0,23&hl=en",18,"2021-02-22","","","","",,,,,1,0.20,1,1,5
9,"SC Gawler","Northeastern terrestrial wildlife habitat classification",2008,"… Wildlife Agencies and the National Fish and Wildlife …","natureserve.org","https://www.natureserve.org/sites/default/files/publications/files/ne_terrestrial_wildlife_habitat_classification_final_report_and_user_guide.pdf","https://scholar.google.com/scholar?cites=17533432522923597901&as_sdt=80000005&sciodt=0,23&hl=en",19,"2021-02-22","PDF","","","",,,,,9,0.69,9,1,13
14,"WM Block, LM Conner, PA Brewer, P Ford…","Effects of prescribed fire on wildlife and wildlife habitat in selected ecosystems of North America",2016,"… Wildlife Society. 69 p.","fs.usda.gov","https://www.fs.usda.gov/treesearch/pubs/download/53210.pdf","https://scholar.google.com/scholar?cites=2988503448357001182&as_sdt=80000005&sciodt=0,23&hl=en",20,"2021-02-22","PDF","","","",,,,,14,2.80,3,5,5
0,"SA Cushman, TN Wasserman…","Landscape fire and wildlife habitat [chapter 9]",2011,"In: McKenzie, Donald; …","fs.usda.gov","https://www.fs.usda.gov/treesearch/pubs/39126","",21,"2021-02-22","","","","",,,,,0,0.00,0,3,10
0,"R Mordecai","Amy Keister (Point of Contact), Hilary Morris (Point of Contact), US Fish and Wildlife Service (Point of Contact), Southeast Conservation Adaptation Strategy …",2020,"","sciencebase.gov","https://www.sciencebase.gov/catalog/item/5f2adc0882cef313eda0f283","",22,"2021-02-22","HTML","","","",,,,,0,0.00,0,1,1
2,"G Forcey","A habitat-based wind-wildlife collision model with application to the Upper Great Plains Region",2012,"","osti.gov","https://www.osti.gov/biblio/1049318","https://scholar.google.com/scholar?cites=10289158681600472704&as_sdt=80000005&sciodt=0,23&hl=en",23,"2021-02-22","","","","",,,,,2,0.22,2,1,9
2,"SB Pearman-Gillman, MJ Duveneck…","Drivers and Consequences of Alternative Landscape Futures on Wildlife Distributions in New England, United States",2020,"Front Ecol …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/5d4b/ca01dbfdfebea6288e14884d10b9f1637bfc.pdf","https://scholar.google.com/scholar?cites=6562089700580260679&as_sdt=80000005&sciodt=0,23&hl=en",24,"2021-02-22","PDF","","","",,,,,2,2.00,1,3,1
1,"R Schellhaas, A Conway, D Spurbeck","A Report to The Nature Conservancy on the Historical and Current Stand Structure in the Sinlahekin Wildlife Area",2009,"","frames.gov","https://www.frames.gov/documents/catalog/schellhaas_conway_spurbeck_2009.pdf","https://scholar.google.com/scholar?cites=1294205526337913538&as_sdt=80000005&sciodt=0,23&hl=en",25,"2021-02-22","PDF","","","",,,,,1,0.08,0,3,12
4,"SGV Rates, N Habitat, STN Depredation…","WILDLIFE",2012,"… Journal of Wildlife …","researchgate.net","https://www.researchgate.net/profile/Cameron_Aldridge/publication/258022078_Crucial_nesting_habitat_for_gunnison_sage-grouse_A_spatially_explicit_hierarchical_approach/links/59e767200f7e9bed362bedfb/Crucial-nesting-habitat-for-gunnison-sage-grouse-A-spatially-explicit-hierarchical-approach.pdf","https://scholar.google.com/scholar?cites=13997227647471597928&as_sdt=80000005&sciodt=0,23&hl=en",26,"2021-02-22","PDF","","","",,,,,4,0.44,1,4,9
2,"J Akenson, TL Wertz, MG Henjum, BK Johnson","Population Ecology of Black Bears in the Starkey Wildlife Management Unit of Northeastern Oregon, 1993-2000",2013,"","dfw.state.or.us","https://dfw.state.or.us/wildlife/research/docs/Final%20Report%20-%20Starkey%20Black%20Bears%201993-2000%20002-2013.pdf","https://scholar.google.com/scholar?cites=14668577036748845432&as_sdt=80000005&sciodt=0,23&hl=en",27,"2021-02-22","BOOK","","","",,,,,2,0.25,1,4,8
1,"SL Abele, RJ Phenix, JJ Bair, DE McIvor, LA Neel…","Using the Southwest Regional Gap Analysis Project data to describe land cover and ownership patterns in Nevada for wildlife conservation planning",2006,"GapA na lysis","pubs.usgs.gov","https://pubs.usgs.gov/gap/14/report.pdf#page=12","https://scholar.google.com/scholar?cites=16647307611456738517&as_sdt=80000005&sciodt=0,23&hl=en",28,"2021-02-22","PDF","","","",,,,,1,0.07,0,6,15
0,"CB Boespflug","Analysis of the Feasibility of Wildland Fire Use on Sheldon National Wildlife Refuge",2009,"","","","",29,"2021-02-22","CITATION","","","",,,,,0,0.00,0,1,12
0,"JM VICKY, A MAGUIRE, W DAVIS, MS DAVID…","Effective Wildlife Conservation",2012,"…","researchgate.net","https://www.researchgate.net/profile/Dale_Goble/publication/243257061_A_State-Based_National_Network_for_Effective_Wildlife_Conservation/links/0f31752e69e7014d48000000.pdf","",30,"2021-02-22","PDF","","","",,,,,0,0.00,0,5,9
0,"S Runge","Sage-grouse & Fire Management Charles M Russell National Wildlife Refuge, Montana",2015,"","dukespace.lib.duke.edu","https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/11112/RUNGE_MP_2015.pdf?sequence=1","",31,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,6
0,"TJ Dokes","A Multidimensional Perspective on Wildlife Conservation and Management: People, Populations, and Habitat",2020,"","search.proquest.com","https://search.proquest.com/openview/1a1e05aedba519bb58c86ef5076f9ee2/1?pq-origsite=gscholar&cbl=18750&diss=y","",32,"2021-02-22","BOOK","","","",,,,,0,0.00,0,1,1
0,"MA Williamson, TG Creech, G Carnwath…","Incorporating wildlife connectivity into forest plan revision under the United States Forest Service's 2012 planning rule",2020,"… Science and Practice","Wiley Online Library","https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/csp2.155","",33,"2021-02-22","","","","",,,,,0,0.00,0,4,1
3,"KM Walton, DE Spalinger, NR Harris…","High spatial resolution vegetation mapping for assessment of wildlife habitat",2013,"Wildlife Society …","Wiley Online Library","https://wildlife.onlinelibrary.wiley.com/doi/abs/10.1002/wsb.344","https://scholar.google.com/scholar?cites=16031248185169828508&as_sdt=80000005&sciodt=0,23&hl=en",34,"2021-02-22","","","","",,,,,3,0.38,1,4,8
0,"I McGahan","Methods in Modeling Wildlife Disease from Model Selection to Parameterization With Multi-Scale Data",2020,"","digitalcommons.usu.edu","https://digitalcommons.usu.edu/etd/7865/","",35,"2021-02-22","","","","",,,,,0,0.00,0,1,1
1,"SM Gray","Invasive species, spatial ecology, and human-wildlife conflict: exploration of wildlife sciences in the present",2019,"","search.proquest.com","https://search.proquest.com/openview/bb14669197238797f735213620878da6/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=9940335996853170278&as_sdt=80000005&sciodt=0,23&hl=en",36,"2021-02-22","","","","",,,,,1,0.50,1,1,2
0,"HY Wan, SA Cushman, E Landguth","Final Report New Mexico Wildlife Habitat Linkage Assessment",,"researchgate.net","","https://www.researchgate.net/profile/Samuel_Cushman2/publication/326468937_Final_Report_New_Mexico_Wildlife_Habitat_Linkage_Assessment/links/5b4fcb27aca27217ffa201be/Final-Report-New-Mexico-Wildlife-Habitat-Linkage-Assessment.pdf","",37,"2021-02-22","PDF","","","",,,,,0,0.00,0,3,
5,"DA Haggstrom","Fire and forest management policies on the boreal forest and wildlife of Interior Alaska",1994,"Wildfire","adfg.alaska.gov","https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/research_pdfs/fire_forest_management_policies_boreal_forest_wildlife_interior_alaska.pdf","https://scholar.google.com/scholar?cites=14236796629999875314&as_sdt=80000005&sciodt=0,23&hl=en",38,"2021-02-22","PDF","","","",,,,,5,0.19,5,1,27
3,"P Evangelista, N Young, L Carter…","Mapping habitat and potential distributions of invasive plant species on USFWS national wildlife refuges",2012,"… State University and …","researchgate.net","https://www.researchgate.net/profile/Paul_Evangelista2/publication/307560815_Mapping_habitat_and_potential_distributions_of_invasive_plant_species_on_USFWS_National_Wildlife_Refuges/links/57c8966208ae9d640480e30b/Mapping-habitat-and-potential-distributions-of-invasive-plant-species-on-USFWS-National-Wildlife-Refuges.pdf","https://scholar.google.com/scholar?cites=10777652019359762657&as_sdt=80000005&sciodt=0,23&hl=en",39,"2021-02-22","PDF","","","",,,,,3,0.33,1,4,9
0,"M Hurley, S Roberts","Statewide Wildlife Research",2018,"","collaboration.idfg.idaho.gov","https://collaboration.idfg.idaho.gov/WildlifeTechnicalReports/ID%20F16AF00908%20Statewide%20Wildlife%20Research%20Final%20FY19.pdf","",40,"2021-02-22","PDF","","","",,,,,0,0.00,0,2,3
10,"MM Rowland, CD Vojta","A technical guide for monitoring wildlife habitat",2013,"Gen. Tech. Rep. WO-89. Washington, DC: US …","fs.usda.gov","https://www.fs.usda.gov/treesearch/pubs/all/45213","https://scholar.google.com/scholar?cites=8783135533693140056&as_sdt=80000005&sciodt=0,23&hl=en",41,"2021-02-22","","","","",,,,,10,1.25,5,2,8
4,"TF Paragi, DA Haggstrom","Identifying and evaluating techniques for wildlife habitat enhancement in Interior Alaska",2005,"","adfg.alaska.gov","https://www.adfg.alaska.gov/static-f/home/library/pdfs/wildlife/research_pdfs/hab-mgt05.pdf","https://scholar.google.com/scholar?cites=5896865726955588347&as_sdt=80000005&sciodt=0,23&hl=en",42,"2021-02-22","PDF","","","",,,,,4,0.25,2,2,16
2,"NB Kotliar, ZH Bowen, DS Ouren…","A regional approach to wildlife monitoring related to energy exploration and development in Colorado",2008,"US Geological Survey …","pubs.usgs.gov","https://pubs.usgs.gov/of/2008/1024/","https://scholar.google.com/scholar?cites=16970677354800848116&as_sdt=80000005&sciodt=0,23&hl=en",43,"2021-02-22","","","","",,,,,2,0.15,1,4,13
0,"ADR Roy","Wildlife Use of Road Mitigation Structures in Relation to Their Construction, Structural Characteristics, and Environmental Factors along a South Texas Highway",2020,"","search.proquest.com","https://search.proquest.com/openview/3c1b8c87c77e73ef6c18d7d254c3e563/1?pq-origsite=gscholar&cbl=51922&diss=y","",44,"2021-02-22","","","","",,,,,0,0.00,0,1,1
0,"J Steenvoorden","Assessing the Ecological Importance of Unburned Islands in the Conservation and Management of Wildlife Species: a Case Study on Greater Sage-Grouse …",2018,"","firescience.gov","https://www.firescience.gov/projects/16-1-01-1/project/16-1-01-1_Steenvoorden_MSc_Thesis_Final_Version_09042018.pdf","",45,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,3
1,"TD Livingston","Wildlife Road Mortalty Survey Methodologies",2019,"","researchgate.net","https://www.researchgate.net/profile/Trinity_Livingston/publication/336047269_WILDLIFE_ROAD_MORTALITY_SURVEY_METHODOLOGIES/links/5d9802e3299bf1c363f8e365/WILDLIFE-ROAD-MORTALITY-SURVEY-METHODOLOGIES.pdf","https://scholar.google.com/scholar?cites=4230430726471264668&as_sdt=80000005&sciodt=0,23&hl=en",46,"2021-02-22","PDF","","","",,,,,1,0.50,1,1,2
3,"J Nowak","Integrated population models and habitat metrics for wildlife management",2015,"","corpus.ulaval.ca","https://corpus.ulaval.ca/jspui/handle/20.500.11794/26023","https://scholar.google.com/scholar?cites=17948690848046638792&as_sdt=80000005&sciodt=0,23&hl=en",47,"2021-02-22","","","","",,,,,3,0.50,3,1,6
0,"M Fink, K Decker","Colorado Wildlife Action Plan enhancement: climate change vulnerability assessment",2014,"","cnhp.colostate.edu","https://cnhp.colostate.edu/wp-content/uploads/download/documents/2014/CO_SWAP_Enhancement_CCVA.pdf","",48,"2021-02-22","PDF","","","",,,,,0,0.00,0,2,7
0,"C Darnell, S Brooke, C Eng","PARTNERSHIPS FOR WETLANDS RESTORATION—THE US FISH AND WILDLIFE SERVICE COASTAL PROGRAM",2019,"Working Watersheds and Coastal …","fs.usda.gov","https://www.fs.usda.gov/treesearch/pubs/download/59031.pdf#page=187","",49,"2021-02-22","PDF","","","",,,,,0,0.00,0,3,2
1,"D Keinath, M Kauffman","Quantifying exposure of Wyoming's wildlife to energy development in the face of expanding production",2014,"… Cooperative Fish and Wildlife Research Unit for …","uwyo.edu","https://www.uwyo.edu/wyndd/_files/docs/reports/wynddreports/u14kei01wyus.pdf","https://scholar.google.com/scholar?cites=16757900703471807036&as_sdt=80000005&sciodt=0,23&hl=en",50,"2021-02-22","PDF","","","",,,,,1,0.14,1,2,7
0,"PH WASHINGTON'S","FISH AND WILDLIFE",,"researchgate.net","","https://www.researchgate.net/profile/Jeff_Azerrad/publication/281109968_MANAGEMENT_RECOMMENDATIONS_FOR_WASHINGTON'S_PRIORITY_HABITATS_Managing_Shrub-steppe_in_Developing_Landscapes/links/55d5fed508ae9d65948af96c.pdf","",51,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,
0,"CG Homer","Sagebrush Ecosystem Characterization, Monitoring, and Forecasting with Remote Sensing: Quantifying Future Climate and Wildlife Habitat Change",2013,"","openprairie.sdstate.edu","http://openprairie.sdstate.edu/cgi/viewcontent.cgi?article=2080&context=etd","",52,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,8
0,"ZL Steel","Implications of Shifting Wildfire Regimes for Landscape Pattern and Wildlife Communities in California's Sierra Nevada Forests",2018,"","search.proquest.com","https://search.proquest.com/openview/465541cd85827ceb9922ca3e1c9aaed9/1?pq-origsite=gscholar&cbl=18750&diss=y","",53,"2021-02-22","BOOK","","","",,,,,0,0.00,0,1,3
3,"P Crist, L Wise, J Kagan, M Harkness…","Vulnerability Assessment and Strategies for the Sheldon National Wildlife Refuge and Hart Mountain National Antelope Refuge Complex",2011,"NatureServe …","researchgate.net","https://www.researchgate.net/profile/Patrick_Crist2/publication/337425032_Vulnerability_Assessment_and_Strategies_for_the_Sheldon_National_Wildlife_Refuge_and_Hart_Mountain_National_Antelope_Refuge_Complex_NatureServe/links/5dd6bbc2299bf10c5a26b08a/Vulnerability-Assessment-and-Strategies-for-the-Sheldon-National-Wildlife-Refuge-and-Hart-Mountain-National-Antelope-Refuge-Complex-NatureServe.pdf","https://scholar.google.com/scholar?cites=7817690666813078386&as_sdt=80000005&sciodt=0,23&hl=en",54,"2021-02-22","PDF","","","",,,,,3,0.30,1,5,10
0,"JD Alexandera, CJ Ralphb, S Janesc…","Determining The Ecological Effects Of Fire Suppression, Fuels Treatment, And Wildlife Through Bird Monitoring In The Klamath Ecoregion Of Southern Oregon …",2004,"Joint Fire Science …","firescience.gov","https://www.firescience.gov/projects/01B-3-2-10/project/01B-3-2-10_final_report.pdf","",55,"2021-02-22","PDF","","","",,,,,0,0.00,0,4,17
0,"LK Hall","Competition Dynamics Within Communities of Desert Wildlife at Water Sources",2016,"","scholarsarchive.byu.edu","https://scholarsarchive.byu.edu/etd/6402/","",56,"2021-02-22","","","","",,,,,0,0.00,0,1,5
0,"MA Schroeder, RC Crawford, FJ Rocchio, D John","ECOLOGICAL INTEGRITY ASSESSMENTS: MONITORING AND EVALUATION OF WILDLIFE AREAS IN WASHINGTON",,"cfw.nwcouncil.org","","http://cfw.nwcouncil.org/Content/Committees/WAC/meetings/2011_1103/20110824-Wildlife-Phase-2_reportPDahmerWDFW.pdf","",57,"2021-02-22","PDF","","","",,,,,0,0.00,0,4,
0,"LH Suring","Monitoring Wildlife Habitat Following Silvicultural Treatments of Young-growth Forests on the Tongass National Forest in Southeast Alaska, USA",2011,"","researchgate.net","https://www.researchgate.net/profile/Lowell_Suring/publication/339886586_Monitoring_Wildlife_Habitat_Following_Silvicultural_Treatments_of_Young-growth_Forests_on_the_Tongass_National_Forest_in_Southeast_Alaska_USA/links/5e6a87b8a6fdccf321d90edf/Monitoring-Wildlife-Habitat-Following-Silvicultural-Treatments-of-Young-growth-Forests-on-the-Tongass-National-Forest-in-Southeast-Alaska-USA.pdf","",58,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,10
0,"BG Dickson, TD Sisk, SE Sesnie, BA Bradley","Integrated Spatial Models of Non Native Plant Invasion, Fire Risk, and Wildlife Habitat to Support Conservation of Military and Adjacent Lands in the Arid Southwest",2015,"","apps.dtic.mil","https://apps.dtic.mil/sti/citations/AD1030964","",59,"2021-02-22","","","","",,,,,0,0.00,0,4,6
0,"SS Schwartz","Wind Wildlife Research Meeting VII",,"tethys.pnnl.gov","","http://tethys.pnnl.gov/sites/default/files/publications/Research_Meeting_VIII_Proceedings.pdf","",60,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,
0,"A Terando, M Haran, K Hayhoe","Southeast Regional Assessment Project for the National Climate Change and Wildlife Science Center, US Geological Survey",,"pubs.usgs.gov","","https://pubs.usgs.gov/of/2010/1213/","",61,"2021-02-22","HTML","","","",,,,,0,0.00,0,3,
0,"WA Olympia, FJ Rocchio, RC Crawford","Monitoring Desired Ecological Conditions on Washington State Wildlife Areas Using an Ecological Integrity Assessment Framework",2009,"","dnr.wa.gov","https://dnr.wa.gov/publications/amp_nh_wdfw_eia_final.pdf","",62,"2021-02-22","PDF","","","",,,,,0,0.00,0,3,12
1,"P Keller","Case study: The high reliability organizing field study of the Okefenokee national wildlife refuge",2008,"Managementtoday","frames.gov","https://www.frames.gov/documents/usfs/fmt/fmt_68-2.pdf#page=30","https://scholar.google.com/scholar?cites=7453438517392456226&as_sdt=80000005&sciodt=0,23&hl=en",63,"2021-02-22","","","","",,,,,1,0.08,1,1,13
0,"EPEP MF0l","INSTITUTION National Wildlife Coordinating Group, Boise, ID.",1998,"","ERIC","https://eric.ed.gov/?id=ED472789","",64,"2021-02-22","","","","",,,,,0,0.00,0,1,23
0,"F Bancroft","Tropical Savannas CRC-PhD projects 2001-2007-Colin Trainor-Timor Leste-Plants and wildlife",2006,"","Tropical Savannas CRC","","",65,"2021-02-22","CITATION","","","",,,,,0,0.00,0,1,15
5,"CC Hardy, ED Reinhardt","Modeling effects of prescribed fire on wildlife habitat: stand structure, snag recruitment and coarse woody debris",1998,"… ; Spokane, WA. Bethesda, MD: The Wildlife …","fs.usda.gov","https://www.fs.usda.gov/treesearch/pubs/48771","https://scholar.google.com/scholar?cites=12685820601956540454&as_sdt=80000005&sciodt=0,23&hl=en",66,"2021-02-22","","","","",,,,,5,0.22,3,2,23
0,"CSINNA PARK, W SPOKANE","FIRE AND WILDLIFE INTHE PACIFIC NORTHWEST",,"fs.fed.us","","https://www.fs.fed.us/rm/pubs_exp_forests/tenderfoot/rmrs_1998_hardy_c001.pdf","",67,"2021-02-22","PDF","","","",,,,,0,0.00,0,2,
6,"RS Ajin, AM Loghin, PG Vinod, MK Jacob","Forest fire risk zone mapping in Chinnar Wildlife Sanctuary, Kerala, India: A study using geospatial tools",2016,"J Glob Resour","mathewkjacob.com","http://www.mathewkjacob.com/img/publication/Fire%20Risk%20Zone%20Mapping%20in%20Chinnar.pdf","https://scholar.google.com/scholar?cites=15958998289318508671&as_sdt=80000005&sciodt=0,23&hl=en",68,"2021-02-22","PDF","","","",,,,,6,1.20,2,4,5
7,"JM Morton, E Berg, D Newbould…","Wilderness fire stewardship on the Kenai National Wildlife Refuge, Alaska",2006,"… Journal of Wilderness","researchgate.net","https://www.researchgate.net/profile/John_Morton11/publication/268152320_Wilderness_fire_stewardship_on_the_Kenai_National_Wildlife_Refuge_Alaska/links/5467a2890cf2f5eb18036cee/Wilderness-fire-stewardship-on-the-Kenai-National-Wildlife-Refuge-Alaska.pdf","https://scholar.google.com/scholar?cites=6320376360984145237&as_sdt=80000005&sciodt=0,23&hl=en",69,"2021-02-22","PDF","","","",,,,,7,0.47,2,4,15
1,"S Mekonen","Coexistence between human and wildlife: the nature, causes and mitigations of human wildlife conflict around Bale Mountains National Park, Southeast …",2020,"BMC ecology","Springer","https://link.springer.com/article/10.1186/s12898-020-00319-1","https://scholar.google.com/scholar?cites=1852823767183644359&as_sdt=80000005&sciodt=0,23&hl=en",70,"2021-02-22","HTML","","","",,,,,1,1.00,1,1,1
15,"C Gallaher","Placing the militia occupation of the Malheur national wildlife refuge in Harney County, Oregon",2016,"ACME: An International Journal for Critical …","acme-journal.org","https://acme-journal.org/index.php/acme/article/view/1312","https://scholar.google.com/scholar?cites=11777880778363885860&as_sdt=80000005&sciodt=0,23&hl=en",71,"2021-02-22","","","","",,,,,15,3.00,15,1,5
0,"BA Holzman","Protocol for Invasive Species mapping of the South Farallon Islands, Farallon National Wildlife Refuge, California",,"online.sfsu.edu","","http://online.sfsu.edu/bholzman/research/InvasivePlantMappingProtocol_Holzman.pdf","",72,"2021-02-22","PDF","","","",,,,,0,0.00,0,1,
2,"G Matseketsa, BB Mukamuri, N Muboko, E Gandiwa","An Assessment of Local People's Support to Private Wildlife Conservation: A Case of Save Valley Conservancy and Fringe Communities, Zimbabwe",2019,"Scientifica","hindawi.com","https://www.hindawi.com/journals/scientifica/2019/2534614/abs/","https://scholar.google.com/scholar?cites=3191720434843217072&as_sdt=80000005&sciodt=0,23&hl=en",73,"2021-02-22","HTML","","","",,,,,2,1.00,1,4,2
